#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
409292,211.00,-0.70,
409344,212.00,-0.59,
409394,212.00,-0.59,
409446,212.00,-0.59,
409496,212.00,-0.59,
409548,213.00,-0.47,
409600,212.00,-0.59,
409651,212.00,-0.59,
409702,212.00,-0.59,
409752,212.00,-0.59,
409804,211.00,-0.70,
409856,212.00,-0.59,
409906,213.00,-0.47,
409957,212.00,-0.59,
410008,211.00,-0.70,
410060,230.00,1.49,
410112,277.00,6.90,
410162,394.00,20.37,
410213,501.00,32.70,
410264,575.00,41.22,
410316,568.00,40.41,
410366,539.00,37.07,
410419,515.00,34.31,
410470,503.00,32.93,
410520,521.00,35.00,
410572,531.00,36.15,
410624,517.00,34.54,
410674,511.00,33.85,
410725,516.00,34.42,
410777,520.00,34.88,
410828,521.00,35.00,
410878,516.00,34.42,
410931,520.00,34.88,
410982,523.00,35.23,
411032,525.00,35.46,
411084,521.00,35.00,
411136,522.00,35.11,
411186,523.00,35.23,
411238,525.00,35.46,
411289,519.00,34.77,
411339,518.00,34.65,
411392,521.00,35.00,
411443,519.00,34.77,
411493,521.00,35.00,
411545,521.00,35.00,
411596,520.00,34.88,
411646,520.00,34.88,
411699,517.00,34.54,
411750,517.00,34.54,
411800,517.00,34.54,
411852,518.00,34.65,
411904,521.00,35.00,
411954,519.00,34.77,
412006,517.00,34.54,
412057,518.00,34.65,
412107,521.00,35.00,
412160,521.00,35.00,
412211,521.00,35.00,
412261,524.00,35.34,
412313,522.00,35.11,
412364,520.00,34.88,
412414,521.00,35.00,
412467,520.00,34.88,
412518,521.00,35.00,
412568,520.00,34.88,
412620,520.00,34.88,
412672,520.00,34.88,
412722,523.00,35.23,
412774,523.00,35.23,
412824,523.00,35.23,
412876,520.00,34.88,
412928,522.00,35.11,
412978,522.00,35.11,
413030,520.00,34.88,
413080,520.00,34.88,
413131,521.00,35.00,
413184,521.00,35.00,
413234,522.00,35.11,
413286,522.00,35.11,
413337,524.00,35.34,
413387,520.00,34.88,
413440,522.00,35.11,
413491,524.00,35.34,
413541,522.00,35.11,
413593,519.00,34.77,
413643,521.00,35.00,
413696,520.00,34.88,
413747,522.00,35.11,
413797,525.00,35.46,
413849,522.00,35.11,
413900,523.00,35.23,
413950,522.00,35.11,
414003,526.00,35.57,
414053,526.00,35.57,
414104,524.00,35.34,
414156,524.00,35.34,
414206,522.00,35.11,
414259,521.00,35.00,
414310,522.00,35.11,
414360,523.00,35.23,
414412,522.00,35.11,
414462,524.00,35.34,
414515,525.00,35.46,
414566,523.00,35.23,
414616,524.00,35.34,
414668,522.00,35.11,
414718,523.00,35.23,
414771,520.00,34.88,
414822,522.00,35.11,
414872,522.00,35.11,
414924,526.00,35.57,
414976,525.00,35.46,
415026,524.00,35.34,
415078,523.00,35.23,
415128,527.00,35.69,
415180,522.00,35.11,
415232,520.00,34.88,
415282,524.00,35.34,
415334,523.00,35.23,
415384,524.00,35.34,
415435,522.00,35.11,
415488,523.00,35.23,
415538,522.00,35.11,
415590,521.00,35.00,
415641,523.00,35.23,
415691,523.00,35.23,
415744,521.00,35.00,
415794,523.00,35.23,
415845,522.00,35.11,
415897,520.00,34.88,
415947,522.00,35.11,
416000,524.00,35.34,
416051,522.00,35.11,
416101,522.00,35.11,
416153,524.00,35.34,
416204,523.00,35.23,
416254,522.00,35.11,
416307,525.00,35.46,
416357,523.00,35.23,
416408,523.00,35.23,
416460,525.00,35.46,
416510,524.00,35.34,
416563,522.00,35.11,
416614,524.00,35.34,
416664,524.00,35.34,
416716,523.00,35.23,
416768,522.00,35.11,
416818,524.00,35.34,
416870,523.00,35.23,
416920,523.00,35.23,
416971,524.00,35.34,
417024,524.00,35.34,
417074,524.00,35.34,
417126,522.00,35.11,
417177,525.00,35.46,
417227,524.00,35.34,
417280,524.00,35.34,
417331,527.00,35.69,
417381,525.00,35.46,
417433,525.00,35.46,
417483,525.00,35.46,
417536,521.00,35.00,
417587,527.00,35.69,
417637,526.00,35.57,
417689,524.00,35.34,
417740,524.00,35.34,
417790,525.00,35.46,
417843,523.00,35.23,
417894,523.00,35.23,
417944,525.00,35.46,
417996,523.00,35.23,
418046,524.00,35.34,
418099,521.00,35.00,
418150,524.00,35.34,
418200,524.00,35.34,
418252,520.00,34.88,
418304,523.00,35.23,
418354,524.00,35.34,
418406,523.00,35.23,
418457,520.00,34.88,
418507,522.00,35.11,
418560,522.00,35.11,
418610,520.00,34.88,
418662,522.00,35.11,
418713,521.00,35.00,
418763,522.00,35.11,
418816,521.00,35.00,
418867,521.00,35.00,
418917,522.00,35.11,
418969,520.00,34.88,
419019,519.00,34.77,
419070,522.00,35.11,
419123,519.00,34.77,
419173,521.00,35.00,
419225,521.00,35.00,
419276,522.00,35.11,
419326,522.00,35.11,
419379,523.00,35.23,
419429,520.00,34.88,
419480,521.00,35.00,
419532,520.00,34.88,
419582,518.00,34.65,
419635,519.00,34.77,
419686,520.00,34.88,
419736,520.00,34.88,
419788,519.00,34.77,
419840,519.00,34.77,
419890,520.00,34.88,
419942,521.00,35.00,
419993,520.00,34.88,
420043,520.00,34.88,
420096,521.00,35.00,
420147,519.00,34.77,
420197,518.00,34.65,
420249,520.00,34.88,
420300,516.00,34.42,
420350,520.00,34.88,
420403,521.00,35.00,
420454,519.00,34.77,
420504,520.00,34.88,
420556,519.00,34.77,
420608,518.00,34.65,
420658,520.00,34.88,
420710,519.00,34.77,
420761,522.00,35.11,
420811,521.00,35.00,
420864,521.00,35.00,
420915,522.00,35.11,
420965,520.00,34.88,
421017,519.00,34.77,
421067,518.00,34.65,
421120,520.00,34.88,
421171,520.00,34.88,
421221,520.00,34.88,
421273,523.00,35.23,
421324,520.00,34.88,
421374,520.00,34.88,
421427,519.00,34.77,
421478,516.00,34.42,
421529,517.00,34.54,
421580,518.00,34.65,
421630,522.00,35.11,
421683,520.00,34.88,
421733,519.00,34.77,
421784,516.00,34.42,
421836,511.00,33.85,
421888,515.00,34.31,
421938,516.00,34.42,
421990,517.00,34.54,
422040,515.00,34.31,
422091,515.00,34.31,
422144,521.00,35.00,
422194,519.00,34.77,
422245,514.00,34.19,
422297,517.00,34.54,
422347,518.00,34.65,
422400,522.00,35.11,
422451,520.00,34.88,
422501,519.00,34.77,
422553,516.00,34.42,
422604,519.00,34.77,
422654,520.00,34.88,
422707,517.00,34.54,
422758,517.00,34.54,
422808,519.00,34.77,
422860,519.00,34.77,
422912,517.00,34.54,
422962,518.00,34.65,
423014,516.00,34.42,
423065,516.00,34.42,
423115,518.00,34.65,
423168,518.00,34.65,
423219,519.00,34.77,
423269,518.00,34.65,
423321,518.00,34.65,
423372,519.00,34.77,
423422,519.00,34.77,
423475,519.00,34.77,
423526,518.00,34.65,
423576,519.00,34.77,
423628,519.00,34.77,
423678,519.00,34.77,
423730,516.00,34.42,
423782,519.00,34.77,
423832,518.00,34.65,
423884,518.00,34.65,
423936,518.00,34.65,
423986,519.00,34.77,
424038,518.00,34.65,
424089,516.00,34.42,
424139,517.00,34.54,
424192,521.00,35.00,
424243,520.00,34.88,
424293,520.00,34.88,
424345,518.00,34.65,
424396,520.00,34.88,
424446,520.00,34.88,
424499,517.00,34.54,
424550,518.00,34.65,
424600,518.00,34.65,
424652,517.00,34.54,
424702,523.00,35.23,
424754,520.00,34.88,
424806,517.00,34.54,
424856,520.00,34.88,
424908,516.00,34.42,
424960,521.00,35.00,
425010,520.00,34.88,
425062,519.00,34.77,
425113,521.00,35.00,
425163,519.00,34.77,
425216,520.00,34.88,
425267,519.00,34.77,
425317,517.00,34.54,
425369,513.00,34.08,
425420,309.00,10.58,
425470,213.00,-0.47,
425523,212.00,-0.59,
425574,212.00,-0.59,
425625,213.00,-0.47,
425675,213.00,-0.47,
425728,211.00,-0.70,
425778,213.00,-0.47,
425830,213.00,-0.47,
425880,213.00,-0.47,
425932,211.00,-0.70,
425984,211.00,-0.70,
426034,213.00,-0.47,
426086,212.00,-0.59,
426137,212.00,-0.59,
426187,212.00,-0.59,
426238,211.00,-0.70,
426291,212.00,-0.59,
426341,212.00,-0.59,
426393,212.00,-0.59,
426444,211.00,-0.70,
426496,214.00,-0.36,
426546,212.00,-0.59,
426598,213.00,-0.47,
426649,212.00,-0.59,
426700,212.00,-0.59,
426750,213.00,-0.47,
426802,212.00,-0.59,
426854,211.00,-0.70,
426905,213.00,-0.47,
426955,212.00,-0.59,
427008,212.00,-0.59,
427059,213.00,-0.47,
427110,211.00,-0.70,
427160,213.00,-0.47,
427211,212.00,-0.59,
427264,212.00,-0.59,
427315,213.00,-0.47,
427365,214.00,-0.36,
427416,211.00,-0.70,
427467,213.00,-0.47,
427520,213.00,-0.47,
427571,212.00,-0.59,
427621,211.00,-0.70,
427672,213.00,-0.47,
427724,213.00,-0.47,
427774,213.00,-0.47,
427826,213.00,-0.47,
427878,213.00,-0.47,
427929,212.00,-0.59,
427980,211.00,-0.70,
428030,213.00,-0.47,
428083,212.00,-0.59,
428134,212.00,-0.59,
428184,211.00,-0.70,
428235,212.00,-0.59,
428286,212.00,-0.59,
428339,213.00,-0.47,
428390,212.00,-0.59,
428440,211.00,-0.70,
428492,213.00,-0.47,
428542,214.00,-0.36,
428594,212.00,-0.59,
